iter	Passed	Remaining
0	1	130
1	2	111
2	3	100
3	3	93
4	4	90
5	5	89
6	6	88
7	7	86
8	8	89
9	10	93
10	11	95
11	13	95
12	14	94
13	15	94
14	16	94
15	17	93
16	19	93
17	20	92
18	21	91
19	22	90
20	23	89
21	25	89
22	26	88
23	27	87
24	28	86
25	29	85
26	31	83
27	32	83
28	33	82
29	34	81
30	36	81
31	37	79
32	38	78
33	40	78
34	41	77
35	42	75
36	43	74
37	44	73
38	45	71
39	46	70
40	47	69
41	48	66
42	49	65
43	50	64
44	51	63
45	52	61
46	54	61
47	56	60
48	57	59
49	58	58
50	59	56
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	67	47
59	69	46
60	70	45
61	71	43
62	73	42
63	74	41
64	75	40
65	76	39
66	77	38
67	78	37
68	80	35
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	87	29
75	88	27
76	89	26
77	90	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	98	17
85	99	16
86	100	15
87	101	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	111	4
96	112	3
97	114	2
98	115	1
99	116	0
