iter	Passed	Remaining
0	155	155737
1	157	78636
2	159	52952
3	160	40044
4	162	32383
5	164	27231
6	165	23538
7	167	20749
8	168	18572
9	169	16821
10	171	15392
11	172	14206
12	173	13199
13	175	12332
14	175	11555
15	176	10875
16	177	10284
17	178	9759
18	180	9297
19	181	8876
20	182	8507
21	183	8159
22	184	7844
23	185	7552
24	186	7278
25	187	7030
26	188	6796
27	189	6583
28	190	6381
29	191	6192
30	192	6014
31	193	5849
32	194	5693
33	195	5547
34	196	5414
35	197	5282
36	198	5157
37	198	5036
38	199	4922
39	200	4812
40	201	4712
41	202	4615
42	203	4520
43	203	4430
44	204	4347
45	205	4266
46	206	4188
47	207	4116
48	208	4046
49	209	3977
50	210	3912
51	211	3848
52	212	3789
53	213	3733
54	213	3674
55	214	3617
56	215	3563
57	216	3510
58	216	3460
59	217	3411
60	218	3364
61	219	3317
62	220	3272
63	220	3229
64	221	3187
65	222	3146
66	223	3107
67	223	3068
68	224	3030
69	225	2994
70	226	2959
71	227	2927
72	228	2897
73	228	2864
74	229	2833
75	230	2802
76	231	2771
77	231	2742
78	232	2712
79	233	2684
80	234	2657
81	234	2630
82	235	2601
83	236	2576
84	237	2551
85	237	2525
86	238	2501
87	239	2478
88	239	2455
89	240	2433
90	241	2410
91	242	2392
92	243	2374
93	244	2354
94	245	2334
95	245	2314
96	246	2294
97	247	2276
98	248	2259
99	248	2240
100	249	2221
101	250	2203
102	250	2185
103	251	2167
104	252	2149
105	252	2132
106	253	2116
107	254	2100
108	254	2083
109	255	2068
110	256	2054
111	257	2042
112	258	2030
113	261	2030
114	262	2020
115	263	2005
116	264	1992
117	264	1980
118	265	1967
119	266	1954
120	267	1942
121	267	1928
122	268	1915
123	269	1904
124	270	1893
125	271	1885
126	273	1880
127	276	1884
128	277	1876
129	285	1911
130	286	1900
131	287	1891
132	290	1890
133	292	1891
134	294	1888
135	295	1878
136	296	1866
137	297	1856
138	297	1845
139	298	1836
140	299	1826
141	300	1816
142	301	1807
143	302	1797
144	303	1787
145	304	1778
146	304	1769
147	307	1770
148	309	1766
149	310	1759
150	311	1750
151	311	1740
152	312	1732
153	313	1723
154	314	1716
155	316	1709
156	316	1701
157	317	1692
158	318	1684
159	319	1677
160	319	1667
161	323	1672
162	324	1665
163	325	1657
164	326	1649
165	326	1642
166	327	1634
167	328	1626
168	329	1619
169	330	1611
170	330	1603
171	331	1596
172	332	1588
173	333	1581
174	334	1576
175	335	1568
176	336	1562
177	336	1555
178	339	1557
179	340	1551
180	341	1544
181	342	1537
182	343	1531
183	343	1524
184	344	1517
185	345	1511
186	346	1504
187	346	1497
188	347	1491
189	348	1485
190	349	1480
191	350	1476
192	353	1476
193	354	1471
194	355	1465
195	355	1459
196	356	1453
197	357	1447
198	357	1440
199	358	1434
200	359	1428
201	360	1422
202	360	1416
203	361	1410
204	362	1404
205	363	1399
206	364	1394
207	365	1389
208	367	1389
209	368	1384
210	368	1378
211	369	1373
212	370	1367
213	370	1362
214	371	1356
215	372	1351
216	373	1346
217	373	1340
218	374	1335
219	375	1329
220	375	1324
221	376	1319
222	377	1314
223	378	1311
224	379	1308
225	382	1308
226	383	1304
227	384	1300
228	384	1295
229	385	1290
230	386	1286
231	387	1281
232	388	1277
233	389	1274
234	390	1270
235	391	1265
236	392	1264
237	393	1259
238	394	1255
239	395	1251
240	397	1252
241	400	1253
242	401	1251
243	403	1249
244	404	1245
245	405	1241
246	406	1238
247	407	1235
248	408	1231
249	410	1232
250	411	1229
251	412	1224
252	413	1220
253	414	1216
254	414	1211
255	415	1207
256	416	1203
257	417	1199
258	417	1195
259	418	1191
260	419	1186
261	419	1182
262	420	1178
263	421	1175
264	422	1172
265	425	1172
266	426	1169
267	426	1166
268	428	1163
269	428	1159
270	429	1155
271	430	1151
272	430	1147
273	431	1143
274	432	1139
275	433	1135
276	433	1132
277	434	1128
278	435	1124
279	435	1120
280	436	1117
281	437	1114
282	438	1110
283	439	1107
284	439	1103
285	440	1100
286	441	1096
287	442	1092
288	442	1089
289	443	1085
290	444	1082
291	445	1079
292	445	1075
293	446	1072
294	447	1068
295	448	1065
296	448	1062
297	449	1058
298	450	1055
299	451	1053
300	452	1050
301	453	1047
302	453	1043
303	454	1040
304	455	1037
305	455	1034
306	456	1030
307	457	1027
308	458	1024
309	458	1021
310	459	1018
311	460	1015
312	461	1012
313	461	1009
314	462	1006
315	463	1003
316	464	999
317	464	996
318	465	994
319	466	991
320	467	988
321	468	985
322	469	983
323	469	979
324	470	977
325	471	974
326	472	971
327	472	969
328	473	966
329	474	963
330	475	960
331	476	957
332	476	955
333	477	952
334	478	949
335	478	946
336	479	943
337	480	940
338	481	938
339	482	937
340	483	934
341	484	931
342	484	928
343	485	926
344	486	923
345	487	921
346	488	918
347	488	915
348	489	913
349	490	910
350	491	908
351	491	905
352	492	903
353	493	900
354	494	898
355	495	895
356	496	893
357	497	891
358	497	889
359	498	886
360	499	883
361	500	881
362	500	879
363	501	876
364	502	874
365	503	872
366	504	869
367	505	867
368	505	865
369	506	862
370	507	860
371	508	857
372	508	855
373	509	853
374	510	850
375	511	848
376	512	846
377	512	844
378	513	841
379	514	839
380	515	837
381	516	834
382	516	832
383	517	830
384	518	827
385	519	825
386	519	823
387	520	821
388	521	818
389	521	816
390	522	814
391	523	812
392	524	809
393	525	807
394	525	805
395	526	803
396	527	801
397	528	799
398	529	796
399	529	794
400	530	792
401	531	790
402	532	788
403	532	785
404	533	783
405	534	781
406	534	779
407	535	776
408	536	774
409	537	772
410	537	770
411	538	768
412	539	766
413	540	764
414	541	762
415	541	760
416	542	758
417	543	756
418	544	754
419	545	752
420	545	750
421	546	748
422	547	747
423	548	745
424	549	743
425	550	741
426	550	739
427	551	737
428	552	735
429	553	733
430	553	731
431	554	728
432	555	726
433	555	724
434	556	723
435	557	721
436	558	719
437	558	717
438	559	715
439	560	713
440	561	711
441	561	709
442	562	707
443	563	705
444	563	703
445	564	701
446	565	699
447	566	697
448	566	695
449	567	693
450	568	691
451	569	690
452	569	688
453	570	686
454	571	684
455	572	682
456	572	680
457	573	678
458	574	676
459	575	675
460	575	673
461	576	671
462	577	669
463	577	667
464	578	665
465	579	663
466	580	662
467	580	660
468	581	658
469	582	656
470	583	654
471	583	652
472	584	651
473	585	649
474	585	647
475	586	645
476	587	643
477	587	641
478	588	640
479	589	638
480	590	636
481	590	634
482	591	633
483	592	631
484	593	629
485	593	628
486	594	626
487	595	624
488	596	622
489	596	621
490	597	619
491	598	617
492	598	615
493	599	614
494	600	612
495	600	610
496	601	608
497	602	607
498	603	605
499	603	603
500	604	602
501	605	600
502	606	598
503	606	597
504	607	595
505	608	593
506	609	592
507	609	590
508	610	588
509	611	587
510	612	585
511	612	584
512	613	582
513	614	580
514	615	579
515	615	577
516	616	575
517	617	574
518	618	572
519	618	571
520	619	569
521	620	568
522	621	566
523	621	564
524	622	563
525	623	561
526	624	560
527	624	558
528	625	557
529	626	555
530	627	554
531	628	552
532	628	551
533	629	549
534	630	547
535	631	546
536	632	544
537	632	543
538	633	542
539	634	540
540	635	539
541	636	537
542	636	536
543	637	534
544	638	532
545	639	531
546	639	529
547	640	528
548	641	526
549	642	525
550	642	523
551	643	522
552	644	521
553	645	519
554	646	518
555	647	516
556	648	515
557	649	514
558	649	512
559	650	511
560	651	509
561	652	508
562	652	506
563	653	505
564	654	503
565	655	502
566	656	501
567	656	499
568	657	498
569	658	496
570	659	495
571	659	493
572	660	492
573	661	490
574	662	489
575	663	488
576	664	486
577	665	485
578	665	484
579	666	482
580	667	481
581	668	479
582	668	478
583	669	477
584	670	475
585	671	474
586	671	472
587	672	471
588	673	469
589	673	468
590	674	466
591	675	465
592	676	464
593	676	462
594	677	461
595	678	460
596	679	458
597	680	457
598	680	455
599	681	454
600	682	453
601	683	451
602	683	450
603	684	448
604	685	447
605	685	446
606	686	444
607	687	443
608	688	442
609	689	440
610	689	439
611	690	437
612	691	436
613	692	435
614	693	434
615	694	432
616	695	431
617	696	430
618	696	428
619	697	427
620	698	426
621	699	424
622	700	423
623	700	422
624	701	421
625	702	419
626	703	418
627	703	417
628	704	415
629	705	414
630	706	413
631	707	411
632	708	410
633	709	409
634	710	408
635	710	406
636	711	405
637	712	404
638	713	402
639	713	401
640	714	400
641	715	398
642	716	397
643	717	396
644	718	395
645	718	393
646	719	392
647	720	391
648	721	390
649	721	388
650	723	387
651	723	386
652	724	385
653	725	383
654	726	382
655	726	381
656	727	379
657	728	378
658	729	377
659	730	376
660	730	374
661	731	373
662	732	372
663	733	371
664	734	369
665	735	368
666	735	367
667	736	366
668	737	364
669	738	363
670	739	362
671	739	361
672	740	359
673	741	358
674	742	357
675	743	356
676	743	354
677	744	353
678	745	352
679	746	351
680	747	350
681	747	348
682	748	347
683	749	346
684	750	345
685	751	343
686	752	342
687	752	341
688	753	340
689	754	339
690	755	337
691	756	336
692	756	335
693	757	334
694	758	332
695	759	331
696	760	330
697	761	329
698	761	328
699	762	326
700	763	325
701	764	324
702	765	323
703	765	322
704	766	320
705	767	319
706	768	318
707	769	317
708	770	316
709	770	314
710	771	313
711	772	312
712	773	311
713	773	309
714	774	308
715	775	307
716	777	306
717	778	305
718	779	304
719	781	303
720	782	302
721	784	302
722	789	302
723	791	301
724	792	300
725	793	299
726	794	298
727	794	297
728	795	295
729	796	294
730	797	293
731	800	292
732	802	292
733	804	291
734	804	290
735	805	289
736	806	287
737	807	286
738	808	285
739	809	284
740	809	283
741	810	281
742	811	280
743	812	279
744	812	278
745	814	277
746	817	276
747	818	275
748	820	274
749	821	273
750	822	272
751	822	271
752	823	270
753	824	268
754	825	267
755	826	266
756	826	265
757	827	264
758	828	263
759	830	262
760	832	261
761	833	260
762	834	259
763	835	258
764	836	256
765	837	255
766	837	254
767	838	253
768	839	252
769	840	250
770	841	249
771	841	248
772	842	247
773	843	246
774	844	245
775	847	244
776	848	243
777	848	242
778	849	241
779	850	239
780	851	238
781	851	237
782	852	236
783	853	235
784	854	233
785	855	232
786	855	231
787	856	230
788	857	229
789	858	228
790	859	227
791	861	226
792	862	225
793	863	224
794	864	222
795	865	221
796	865	220
797	866	219
798	867	218
799	868	217
800	868	215
801	869	214
802	870	213
803	871	212
804	871	211
805	872	210
806	873	209
807	875	207
808	877	207
809	878	205
810	879	204
811	879	203
812	880	202
813	881	201
814	882	200
815	882	199
816	883	197
817	884	196
818	885	195
819	885	194
820	886	193
821	887	192
822	888	191
823	889	189
824	891	189
825	892	188
826	893	186
827	894	185
828	895	184
829	896	183
830	896	182
831	897	181
832	898	180
833	899	178
834	899	177
835	900	176
836	901	175
837	902	174
838	903	173
839	904	172
840	907	171
841	907	170
842	908	169
843	909	168
844	910	166
845	910	165
846	911	164
847	912	163
848	912	162
849	913	161
850	914	160
851	915	159
852	916	157
853	917	156
854	918	155
855	919	154
856	921	153
857	922	152
858	923	151
859	924	150
860	924	149
861	925	148
862	926	147
863	926	145
864	927	144
865	928	143
866	929	142
867	929	141
868	930	140
869	931	139
870	932	138
871	933	137
872	935	136
873	936	135
874	937	133
875	938	132
876	939	131
877	940	130
878	941	129
879	941	128
880	942	127
881	943	126
882	943	125
883	944	123
884	945	122
885	946	121
886	946	120
887	947	119
888	948	118
889	949	117
890	950	116
891	951	115
892	951	114
893	952	112
894	953	111
895	954	110
896	955	109
897	955	108
898	956	107
899	957	106
900	958	105
901	959	104
902	960	103
903	961	102
904	961	100
905	962	99
906	965	99
907	966	97
908	967	96
909	968	95
910	969	94
911	970	93
912	971	92
913	971	91
914	972	90
915	973	89
916	974	88
917	975	87
918	975	86
919	976	84
920	981	84
921	981	83
922	982	81
923	983	80
924	984	79
925	985	78
926	988	77
927	989	76
